ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME_x,NAMELSAD,STATEFP,TRACTCE,NAME_y,population,centroid_lon,centroid_lat
909972,0,037,S,06037204920,1400000US06037204920,+34.0175004,-118.1974975,G5020,2049.20,Census Tract 2049.20,06,204920,Census Tract 2049.20; Los Angeles County; California,2459,-118.19749758309933,34.0175004210624
1857531,0,037,S,06037135204,1400000US06037135204,+34.1890902,-118.6495411,G5020,1352.04,Census Tract 1352.04,06,135204,Census Tract 1352.04; Los Angeles County; California,4665,-118.64954115415821,34.1890902945363
647601,0,037,S,06037132302,1400000US06037132302,+34.1956759,-118.5273085,G5020,1323.02,Census Tract 1323.02,06,132302,Census Tract 1323.02; Los Angeles County; California,3176,-118.52730853441008,34.195675845063136
331039,2486,037,S,06037135115,1400000US06037135115,+34.1846696,-118.6097925,G5020,1351.15,Census Tract 1351.15,06,135115,Census Tract 1351.15; Los Angeles County; California,3921,-118.61014799012017,34.18468195591898
631000,0,037,S,06037132301,1400000US06037132301,+34.1992573,-118.5273425,G5020,1323.01,Census Tract 1323.01,06,132301,Census Tract 1323.01; Los Angeles County; California,3616,-118.52734249810689,34.199257157879245
391494,0,037,S,06037134907,1400000US06037134907,+34.1909915,-118.5939054,G5020,1349.07,Census Tract 1349.07,06,134907,Census Tract 1349.07; Los Angeles County; California,3854,-118.593905437442,34.19099145965255
842110,9604,037,S,06037119003,1400000US06037119003,+34.2501205,-118.4331362,G5020,1190.03,Census Tract 1190.03,06,119003,Census Tract 1190.03; Los Angeles County; California,3332,-118.43283011295078,34.25036767749441
840800,0,037,S,06037111401,1400000US06037111401,+34.2539293,-118.4966913,G5020,1114.01,Census Tract 1114.01,06,111401,Census Tract 1114.01; Los Angeles County; California,2193,-118.49669130539226,34.253929272378386
1401638,0,037,S,06037103401,1400000US06037103401,+34.2539688,-118.3183847,G5020,1034.01,Census Tract 1034.01,06,103401,Census Tract 1034.01; Los Angeles County; California,2552,-118.31838499500851,34.25396878045649
862957,6458,037,S,06037207400,1400000US06037207400,+34.0562223,-118.2466420,G5020,2074,Census Tract 2074,06,207400,Census Tract 2074; Los Angeles County; California,2273,-118.24559004747901,34.05577402791043
683899,0,037,S,06037192410,1400000US06037192410,+34.0798577,-118.3181008,G5020,1924.10,Census Tract 1924.10,06,192410,Census Tract 1924.10; Los Angeles County; California,4285,-118.31810077888605,34.07985775398326
340747,0,037,S,06037192510,1400000US06037192510,+34.0798690,-118.3068568,G5020,1925.10,Census Tract 1925.10,06,192510,Census Tract 1925.10; Los Angeles County; California,3991,-118.30685681034308,34.079869053598124
307803,0,037,S,06037192520,1400000US06037192520,+34.0799255,-118.3024972,G5020,1925.20,Census Tract 1925.20,06,192520,Census Tract 1925.20; Los Angeles County; California,4884,-118.30249715923021,34.079925531413075
415408,0,037,S,06037192610,1400000US06037192610,+34.0813650,-118.2961539,G5020,1926.10,Census Tract 1926.10,06,192610,Census Tract 1926.10; Los Angeles County; California,4106,-118.29615394220212,34.081364956568095
531211,0,037,S,06037192700,1400000US06037192700,+34.0800134,-118.2881064,G5020,1927,Census Tract 1927,06,192700,Census Tract 1927; Los Angeles County; California,3070,-118.28810634802022,34.080013402697304
685341,0,037,S,06037194500,1400000US06037194500,+34.0781753,-118.3695958,G5020,1945,Census Tract 1945,06,194500,Census Tract 1945; Los Angeles County; California,2116,-118.36959580518878,34.07817520929145
1566301,329063,037,S,06037195100,1400000US06037195100,+34.1022274,-118.2669741,G5020,1951,Census Tract 1951,06,195100,Census Tract 1951; Los Angeles County; California,4976,-118.26681957962353,34.10082490791618
580349,0,037,S,06037195300,1400000US06037195300,+34.0992506,-118.2836893,G5020,1953,Census Tract 1953,06,195300,Census Tract 1953; Los Angeles County; California,2976,-118.28368936846361,34.099250547104624
2514414,0,037,S,06037137501,1400000US06037137501,+34.1649344,-118.5768036,G5020,1375.01,Census Tract 1375.01,06,137501,Census Tract 1375.01; Los Angeles County; California,5495,-118.5768032476256,34.16493436316851
2090222,0,037,S,06037137502,1400000US06037137502,+34.1634518,-118.5976927,G5020,1375.02,Census Tract 1375.02,06,137502,Census Tract 1375.02; Los Angeles County; California,4582,-118.59769271665206,34.16345184185296
1215212,0,037,S,06037195500,1400000US06037195500,+34.0881865,-118.2646124,G5020,1955,Census Tract 1955,06,195500,Census Tract 1955; Los Angeles County; California,5138,-118.26461225213627,34.08818653959298
527583,0,037,S,06037195600,1400000US06037195600,+34.0808254,-118.2655482,G5020,1956,Census Tract 1956,06,195600,Census Tract 1956; Los Angeles County; California,2821,-118.26554824259199,34.08082542171982
483410,0,037,S,06037195710,1400000US06037195710,+34.0747292,-118.2686024,G5020,1957.10,Census Tract 1957.10,06,195710,Census Tract 1957.10; Los Angeles County; California,4274,-118.26860232881624,34.0747291991298
288980,0,037,S,06037195720,1400000US06037195720,+34.0737571,-118.2633774,G5020,1957.20,Census Tract 1957.20,06,195720,Census Tract 1957.20; Los Angeles County; California,1694,-118.26337737300695,34.07375715415908
402524,0,037,S,06037195802,1400000US06037195802,+34.0756705,-118.2776960,G5020,1958.02,Census Tract 1958.02,06,195802,Census Tract 1958.02; Los Angeles County; California,2865,-118.27769607276464,34.07567052073068
3837562,0,037,S,06037137504,1400000US06037137504,+34.1480383,-118.5720594,G5020,1375.04,Census Tract 1375.04,06,137504,Census Tract 1375.04; Los Angeles County; California,1889,-118.57205925389023,34.14803912013722
4472196,0,037,S,06037138000,1400000US06037138000,+34.1488008,-118.5910495,G5020,1380,Census Tract 1380,06,138000,Census Tract 1380; Los Angeles County; California,4777,-118.59104974825708,34.1488009427023
1152028,0,037,S,06037139200,1400000US06037139200,+34.1756961,-118.5246446,G5020,1392,Census Tract 1392,06,139200,Census Tract 1392; Los Angeles County; California,5758,-118.52464464274091,34.175696137357015
957092,0,037,S,06037143200,1400000US06037143200,+34.1494399,-118.3720618,G5020,1432,Census Tract 1432,06,143200,Census Tract 1432; Los Angeles County; California,4215,-118.37206189584947,34.14943991203544
866189,0,037,S,06037201301,1400000US06037201301,+34.0882421,-118.1878388,G5020,2013.01,Census Tract 2013.01,06,201301,Census Tract 2013.01; Los Angeles County; California,3403,-118.18783874239483,34.08824222648809
991726,0,037,S,06037201302,1400000US06037201302,+34.0978820,-118.1838819,G5020,2013.02,Census Tract 2013.02,06,201302,Census Tract 2013.02; Los Angeles County; California,4083,-118.1838817742486,34.09788210297796
1279501,28686,037,S,06037201401,1400000US06037201401,+34.0782936,-118.1857852,G5020,2014.01,Census Tract 2014.01,06,201401,Census Tract 2014.01; Los Angeles County; California,4177,-118.1848248203234,34.08021135565023
1941232,0,037,S,06037201402,1400000US06037201402,+34.0689106,-118.1877681,G5020,2014.02,Census Tract 2014.02,06,201402,Census Tract 2014.02; Los Angeles County; California,4113,-118.18776810564913,34.06891069082976
2134409,68544,037,S,06037236001,1400000US06037236001,+34.0168971,-118.3717636,G5020,2360.01,Census Tract 2360.01,06,236001,Census Tract 2360.01; Los Angeles County; California,4063,-118.36452766724231,34.01575182884188
498051,0,037,S,06037236102,1400000US06037236102,+34.0099782,-118.3409807,G5020,2361.02,Census Tract 2361.02,06,236102,Census Tract 2361.02; Los Angeles County; California,3510,-118.34098072772981,34.00997813766372
503984,0,037,S,06037234301,1400000US06037234301,+34.0078100,-118.3313568,G5020,2343.01,Census Tract 2343.01,06,234301,Census Tract 2343.01; Los Angeles County; California,1779,-118.33135675230818,34.007810020382536
319388,0,037,S,06037231601,1400000US06037231601,+34.0072700,-118.3023599,G5020,2316.01,Census Tract 2316.01,06,231601,Census Tract 2316.01; Los Angeles County; California,2230,-118.30235988605236,34.007270050305635
320263,0,037,S,06037231603,1400000US06037231603,+34.0072782,-118.2937148,G5020,2316.03,Census Tract 2316.03,06,231603,Census Tract 2316.03; Los Angeles County; California,2895,-118.2937148162177,34.0072782897075
677242,0,037,S,06037234001,1400000US06037234001,+34.0126054,-118.3235438,G5020,2340.01,Census Tract 2340.01,06,234001,Census Tract 2340.01; Los Angeles County; California,2517,-118.32354386175798,34.012605630093205
166993,0,037,S,06037236205,1400000US06037236205,+34.0154268,-118.3522256,G5020,2362.05,Census Tract 2362.05,06,236205,Census Tract 2362.05; Los Angeles County; California,3070,-118.35222557965142,34.01542686786378
3681803,48976,037,S,06037206051,1400000US06037206051,+34.0272770,-118.2328862,G5020,2060.51,Census Tract 2060.51,06,206051,Census Tract 2060.51; Los Angeles County; California,1535,-118.23246928562344,34.027485637474754
233928,0,037,S,06037231301,1400000US06037231301,+34.0153549,-118.3020819,G5020,2313.01,Census Tract 2313.01,06,231301,Census Tract 2313.01; Los Angeles County; California,2570,-118.30208191375931,34.01535494739892
423524,0,037,S,06037231302,1400000US06037231302,+34.0140532,-118.3058946,G5020,2313.02,Census Tract 2313.02,06,231302,Census Tract 2313.02; Los Angeles County; California,2890,-118.30589463886949,34.014053241963396
1550434,0,037,S,06037275604,1400000US06037275604,+33.9757930,-118.4154909,G5020,2756.04,Census Tract 2756.04,06,275604,Census Tract 2756.04; Los Angeles County; California,10392,-118.41549017401977,33.97579291529043
348810,0,037,S,06037271804,1400000US06037271804,+34.0201691,-118.4138661,G5020,2718.04,Census Tract 2718.04,06,271804,Census Tract 2718.04; Los Angeles County; California,2293,-118.41386610257194,34.02016912502662
360279,0,037,S,06037276608,1400000US06037276608,+33.9577155,-118.4293504,G5020,2766.08,Census Tract 2766.08,06,276608,Census Tract 2766.08; Los Angeles County; California,1874,-118.42935044591556,33.95771552011191
658635,0,037,S,06037276102,1400000US06037276102,+33.9761861,-118.3703576,G5020,2761.02,Census Tract 2761.02,06,276102,Census Tract 2761.02; Los Angeles County; California,3365,-118.37035729303976,33.97618626588007
783490,38298,037,S,06037275312,1400000US06037275312,+33.9798033,-118.4332118,G5020,2753.12,Census Tract 2753.12,06,275312,Census Tract 2753.12; Los Angeles County; California,2042,-118.43293270836865,33.98026857014366
970244,70158,037,S,06037275605,1400000US06037275605,+33.9775186,-118.4205947,G5020,2756.05,Census Tract 2756.05,06,275605,Census Tract 2756.05; Los Angeles County; California,2878,-118.42077979103937,33.97863316290972
326325,0,037,S,06037276101,1400000US06037276101,+33.9753456,-118.3783735,G5020,2761.01,Census Tract 2761.01,06,276101,Census Tract 2761.01; Los Angeles County; California,3424,-118.3783735265666,33.97534554144757
2865657,0,037,S,06037139301,1400000US06037139301,+34.1781538,-118.5581265,G5020,1393.01,Census Tract 1393.01,06,139301,Census Tract 1393.01; Los Angeles County; California,4137,-118.55812675253782,34.17815360120241
338289,0,037,S,06037139302,1400000US06037139302,+34.1767230,-118.5383655,G5020,1393.02,Census Tract 1393.02,06,139302,Census Tract 1393.02; Los Angeles County; California,5001,-118.5383655028951,34.17672306160527
1047549,0,037,S,06037139502,1400000US06037139502,+34.1628402,-118.5263111,G5020,1395.02,Census Tract 1395.02,06,139502,Census Tract 1395.02; Los Angeles County; California,3315,-118.526311192001,34.16284028052578
2477482,0,037,S,06037139600,1400000US06037139600,+34.1640599,-118.5101001,G5020,1396,Census Tract 1396,06,139600,Census Tract 1396; Los Angeles County; California,5164,-118.51010005355087,34.164059997943085
3396397,2411,037,S,06037139701,1400000US06037139701,+34.1574290,-118.4954117,G5020,1397.01,Census Tract 1397.01,06,139701,Census Tract 1397.01; Los Angeles County; California,5635,-118.4957197548917,34.15734292335746
3666763,0,037,S,06037139801,1400000US06037139801,+34.1527171,-118.5455833,G5020,1398.01,Census Tract 1398.01,06,139801,Census Tract 1398.01; Los Angeles County; California,3514,-118.54558309846414,34.152717372834736
1191719,46468,037,S,06037143500,1400000US06037143500,+34.1476412,-118.4067800,G5020,1435,Census Tract 1435,06,143500,Census Tract 1435; Los Angeles County; California,5325,-118.4070889374977,34.14775700574122
4108343,30513,037,S,06037181000,1400000US06037181000,+34.1452670,-118.2043861,G5020,1810,Census Tract 1810,06,181000,Census Tract 1810; Los Angeles County; California,5588,-118.2028195718802,34.14399092035757
1094349,0,037,S,06037181500,1400000US06037181500,+34.1347811,-118.1928518,G5020,1815,Census Tract 1815,06,181500,Census Tract 1815; Los Angeles County; California,4014,-118.19285201998748,34.13478108452001
1250035,0,037,S,06037181600,1400000US06037181600,+34.1297233,-118.2097405,G5020,1816,Census Tract 1816,06,181600,Census Tract 1816; Los Angeles County; California,4208,-118.20974064104547,34.129723356560284
967955,0,037,S,06037183101,1400000US06037183101,+34.1225069,-118.1817872,G5020,1831.01,Census Tract 1831.01,06,183101,Census Tract 1831.01; Los Angeles County; California,2962,-118.18178720659849,34.122507060976325
535234,0,037,S,06037183220,1400000US06037183220,+34.1199723,-118.1892861,G5020,1832.20,Census Tract 1832.20,06,183220,Census Tract 1832.20; Los Angeles County; California,2954,-118.18928615676575,34.119972232687
541305,0,037,S,06037183300,1400000US06037183300,+34.1210001,-118.2008163,G5020,1833,Census Tract 1833,06,183300,Census Tract 1833; Los Angeles County; California,3140,-118.20081634982077,34.121000151785545
500438,0,037,S,06037183510,1400000US06037183510,+34.1154022,-118.2030827,G5020,1835.10,Census Tract 1835.10,06,183510,Census Tract 1835.10; Los Angeles County; California,2432,-118.20308265241711,34.11540218974499
427707,0,037,S,06037183520,1400000US06037183520,+34.1109412,-118.2015849,G5020,1835.20,Census Tract 1835.20,06,183520,Census Tract 1835.20; Los Angeles County; California,3492,-118.20158485095854,34.11094120695679
378643,0,037,S,06037183610,1400000US06037183610,+34.1140024,-118.1948974,G5020,1836.10,Census Tract 1836.10,06,183610,Census Tract 1836.10; Los Angeles County; California,2826,-118.19489740177674,34.114002445839105
879493,0,037,S,06037192300,1400000US06037192300,+34.0797430,-118.3284923,G5020,1923,Census Tract 1923,06,192300,Census Tract 1923; Los Angeles County; California,2642,-118.32849226392098,34.07974303027527
1030345,0,037,S,06037195400,1400000US06037195400,+34.0916923,-118.2740531,G5020,1954,Census Tract 1954,06,195400,Census Tract 1954; Los Angeles County; California,4348,-118.27405317380203,34.09169237039967
308653,0,037,S,06037183820,1400000US06037183820,+34.1039593,-118.1971254,G5020,1838.20,Census Tract 1838.20,06,183820,Census Tract 1838.20; Los Angeles County; California,3573,-118.19712539580934,34.10395922894102
1205737,0,037,S,06037185202,1400000US06037185202,+34.0950599,-118.2170631,G5020,1852.02,Census Tract 1852.02,06,185202,Census Tract 1852.02; Los Angeles County; California,4099,-118.21706316252525,34.09505991411457
421083,0,037,S,06037185310,1400000US06037185310,+34.0922029,-118.2226256,G5020,1853.10,Census Tract 1853.10,06,185310,Census Tract 1853.10; Los Angeles County; California,2871,-118.22262576972942,34.09220293274562
556162,0,037,S,06037185320,1400000US06037185320,+34.0886826,-118.2248083,G5020,1853.20,Census Tract 1853.20,06,185320,Census Tract 1853.20; Los Angeles County; California,2871,-118.22480837229743,34.088682665650516
963513,0,037,S,06037186401,1400000US06037186401,+34.1174905,-118.2455175,G5020,1864.01,Census Tract 1864.01,06,186401,Census Tract 1864.01; Los Angeles County; California,2948,-118.24551751067142,34.117490437006815
744116,32985,037,S,06037197200,1400000US06037197200,+34.0907632,-118.2343586,G5020,1972,Census Tract 1972,06,197200,Census Tract 1972; Los Angeles County; California,3639,-118.23449159591696,34.090395376636685
654245,0,037,S,06037197300,1400000US06037197300,+34.0811373,-118.2520467,G5020,1973,Census Tract 1973,06,197300,Census Tract 1973; Los Angeles County; California,3734,-118.25204659243738,34.08113748497568
1393312,0,037,S,06037197410,1400000US06037197410,+34.0929146,-118.2504370,G5020,1974.10,Census Tract 1974.10,06,197410,Census Tract 1974.10; Los Angeles County; California,3805,-118.25043696124962,34.09291468273527
615577,0,037,S,06037197420,1400000US06037197420,+34.0832000,-118.2571856,G5020,1974.20,Census Tract 1974.20,06,197420,Census Tract 1974.20; Los Angeles County; California,3621,-118.25718553304142,34.08320005453169
581662,58811,037,S,06037197500,1400000US06037197500,+34.0717475,-118.2577066,G5020,1975,Census Tract 1975,06,197500,Census Tract 1975; Los Angeles County; California,3992,-118.25769041648748,34.07295288722218
388305,0,037,S,06037197600,1400000US06037197600,+34.0683314,-118.2519864,G5020,1976,Census Tract 1976,06,197600,Census Tract 1976; Los Angeles County; California,2080,-118.25198642489308,34.06833149574149
701770,0,037,S,06037197700,1400000US06037197700,+34.0685435,-118.2457754,G5020,1977,Census Tract 1977,06,197700,Census Tract 1977; Los Angeles County; California,4780,-118.24577543394601,34.0685435391809
901969,0,037,S,06037199110,1400000US06037199110,+34.0793607,-118.1974043,G5020,1991.10,Census Tract 1991.10,06,199110,Census Tract 1991.10; Los Angeles County; California,2369,-118.19740417247422,34.07936079116779
1954146,236563,037,S,06037187102,1400000US06037187102,+34.1090483,-118.2514556,G5020,1871.02,Census Tract 1871.02,06,187102,Census Tract 1871.02; Los Angeles County; California,4494,-118.24319219277477,34.10370608268368
918311,33035,037,S,06037187200,1400000US06037187200,+34.1054563,-118.2468522,G5020,1872,Census Tract 1872,06,187200,Census Tract 1872; Los Angeles County; California,2908,-118.24723997966092,34.10321911841127
1168844,0,037,S,06037187300,1400000US06037187300,+34.1016126,-118.2567240,G5020,1873,Census Tract 1873,06,187300,Census Tract 1873; Los Angeles County; California,3820,-118.25672408733536,34.101612752182824
1340500,0,037,S,06037236400,1400000US06037236400,+34.0067001,-118.3512616,G5020,2364,Census Tract 2364,06,236400,Census Tract 2364; Los Angeles County; California,4390,-118.35126149781546,34.006700091362795
337329,0,037,S,06037237500,1400000US06037237500,+33.9783023,-118.2893094,G5020,2375,Census Tract 2375,06,237500,Census Tract 2375; Los Angeles County; California,2727,-118.28930935289137,33.97830229431196
334942,0,037,S,06037213201,1400000US06037213201,+34.0526559,-118.3045301,G5020,2132.01,Census Tract 2132.01,06,213201,Census Tract 2132.01; Los Angeles County; California,4079,-118.30453012033848,34.05265583786592
337924,0,037,S,06037213202,1400000US06037213202,+34.0490294,-118.3045035,G5020,2132.02,Census Tract 2132.02,06,213202,Census Tract 2132.02; Los Angeles County; California,3675,-118.30450346085216,34.04902937929295
403612,0,037,S,06037242202,1400000US06037242202,+33.9465593,-118.2404230,G5020,2422.02,Census Tract 2422.02,06,242202,Census Tract 2422.02; Los Angeles County; California,2729,-118.24042303187514,33.946559378510095
688871,0,037,S,06037128302,1400000US06037128302,+34.1838638,-118.4605367,G5020,1283.02,Census Tract 1283.02,06,128302,Census Tract 1283.02; Los Angeles County; California,4559,-118.46053667835689,34.18386373681465
619830,0,037,S,06037134306,1400000US06037134306,+34.2119147,-118.6017021,G5020,1343.06,Census Tract 1343.06,06,134306,Census Tract 1343.06; Los Angeles County; California,3699,-118.60170211796415,34.21191471751736
486438,10184,037,S,06037119320,1400000US06037119320,+34.2369427,-118.4547256,G5020,1193.20,Census Tract 1193.20,06,119320,Census Tract 1193.20; Los Angeles County; California,4292,-118.45360965265485,34.23891719533453
484078,0,037,S,06037294520,1400000US06037294520,+33.7868323,-118.2658196,G5020,2945.20,Census Tract 2945.20,06,294520,Census Tract 2945.20; Los Angeles County; California,3563,-118.26581959074049,33.786832326118265
346578,0,037,S,06037243001,1400000US06037243001,+33.9398628,-118.2362448,G5020,2430.01,Census Tract 2430.01,06,243001,Census Tract 2430.01; Los Angeles County; California,3246,-118.23624478680699,33.939862881261824
409622,0,037,S,06037242201,1400000US06037242201,+33.9507370,-118.2379637,G5020,2422.01,Census Tract 2422.01,06,242201,Census Tract 2422.01; Los Angeles County; California,4004,-118.23796371092467,33.950736975902956
558128,4317,037,S,06037131021,1400000US06037131021,+34.2199093,-118.5393555,G5020,1310.21,Census Tract 1310.21,06,131021,Census Tract 1310.21; Los Angeles County; California,3237,-118.54041878809882,34.21775148304433
709686,0,037,S,06037113238,1400000US06037113238,+34.2238854,-118.6016642,G5020,1132.38,Census Tract 1132.38,06,113238,Census Tract 1132.38; Los Angeles County; California,4596,-118.60166418101868,34.22388539305029
1270492,0,037,S,06037113428,1400000US06037113428,+34.2241460,-118.5787221,G5020,1134.28,Census Tract 1134.28,06,113428,Census Tract 1134.28; Los Angeles County; California,4120,-118.57872205287893,34.224145977290945
710674,0,037,S,06037113423,1400000US06037113423,+34.2242425,-118.5666812,G5020,1134.23,Census Tract 1134.23,06,113423,Census Tract 1134.23; Los Angeles County; California,2845,-118.56668117140529,34.22424248573924
609343,2967,037,S,06037119801,1400000US06037119801,+34.2352193,-118.4310495,G5020,1198.01,Census Tract 1198.01,06,119801,Census Tract 1198.01; Los Angeles County; California,2702,-118.4316377750196,34.235357121075126
842714,6812,037,S,06037119004,1400000US06037119004,+34.2417684,-118.4228648,G5020,1190.04,Census Tract 1190.04,06,119004,Census Tract 1190.04; Los Angeles County; California,2759,-118.4233416107396,34.24140876478944
172993,1794,037,S,06037134906,1400000US06037134906,+34.1918582,-118.5895109,G5020,1349.06,Census Tract 1349.06,06,134906,Census Tract 1349.06; Los Angeles County; California,2933,-118.58993321232927,34.192503247190025
296512,0,037,S,06037101222,1400000US06037101222,+34.2513519,-118.2885261,G5020,1012.22,Census Tract 1012.22,06,101222,Census Tract 1012.22; Los Angeles County; California,2572,-118.28852612467774,34.25135193393255
1954789,0,037,S,06037103201,1400000US06037103201,+34.2656446,-118.3236267,G5020,1032.01,Census Tract 1032.01,06,103201,Census Tract 1032.01; Los Angeles County; California,4425,-118.32362664106866,34.26564467908292
312089,0,037,S,06037213310,1400000US06037213310,+34.0508743,-118.2978915,G5020,2133.10,Census Tract 2133.10,06,213310,Census Tract 2133.10; Los Angeles County; California,2519,-118.29789154086903,34.05087430759086
311438,0,037,S,06037213320,1400000US06037213320,+34.0508830,-118.2937000,G5020,2133.20,Census Tract 2133.20,06,213320,Census Tract 2133.20; Los Angeles County; California,2471,-118.29369997137928,34.05088307511894
196100,0,037,S,06037213401,1400000US06037213401,+34.0537069,-118.2879026,G5020,2134.01,Census Tract 2134.01,06,213401,Census Tract 2134.01; Los Angeles County; California,4573,-118.28790257194272,34.05370693164154
593341,0,037,S,06037214700,1400000US06037214700,+34.0664969,-118.3661529,G5020,2147,Census Tract 2147,06,214700,Census Tract 2147; Los Angeles County; California,2517,-118.3661528849539,34.06649688011206
577069,0,037,S,06037214800,1400000US06037214800,+34.0713889,-118.3730522,G5020,2148,Census Tract 2148,06,214800,Census Tract 2148; Los Angeles County; California,2880,-118.37305221325455,34.0713889826735
675030,0,037,S,06037216100,1400000US06037216100,+34.0569255,-118.3379721,G5020,2161,Census Tract 2161,06,216100,Census Tract 2161; Los Angeles County; California,2393,-118.33797203454368,34.056925568551094
777948,0,037,S,06037216700,1400000US06037216700,+34.0482451,-118.3719490,G5020,2167,Census Tract 2167,06,216700,Census Tract 2167; Los Angeles County; California,3441,-118.3719490329299,34.04824510046666
14034188,11917519,037,S,06037980031,1400000US06037980031,+33.7376649,-118.2579640,G5020,9800.31,Census Tract 9800.31,06,980031,Census Tract 9800.31; Los Angeles County; California,970,-118.26282696475967,33.73559990818707
17335397,2387924,037,S,06037980028,1400000US06037980028,+33.9423871,-118.4160617,G5020,9800.28,Census Tract 9800.28,06,980028,Census Tract 9800.28; Los Angeles County; California,0,-118.4135376933217,33.93981488651813
5584581,867525,037,S,06037980022,1400000US06037980022,+34.3040449,-118.4807217,G5020,9800.22,Census Tract 9800.22,06,980022,Census Tract 9800.22; Los Angeles County; California,0,-118.48517493788827,34.29869884129976
5192771,27323,037,S,06037980023,1400000US06037980023,+34.2320090,-118.6343023,G5020,9800.23,Census Tract 9800.23,06,980023,Census Tract 9800.23; Los Angeles County; California,47,-118.62999477540664,34.23224736560239
391846,0,037,S,06037213402,1400000US06037213402,+34.0498405,-118.2878882,G5020,2134.02,Census Tract 2134.02,06,213402,Census Tract 2134.02; Los Angeles County; California,4477,-118.28788823892421,34.04984053033705
1011538,0,037,S,06037214000,1400000US06037214000,+34.0748535,-118.3485020,G5020,2140,Census Tract 2140,06,214000,Census Tract 2140; Los Angeles County; California,3950,-118.34850202691142,34.074853547795456
1108280,0,037,S,06037214100,1400000US06037214100,+34.0746639,-118.3392739,G5020,2141,Census Tract 2141,06,214100,Census Tract 2141; Los Angeles County; California,3787,-118.33927385916351,34.07466401242231
344250,0,037,S,06037214400,1400000US06037214400,+34.0781666,-118.3573276,G5020,2144,Census Tract 2144,06,214400,Census Tract 2144; Los Angeles County; California,3008,-118.35732762728243,34.07816661292092
739832,0,037,S,06037216800,1400000US06037216800,+34.0557841,-118.3706043,G5020,2168,Census Tract 2168,06,216800,Census Tract 2168; Los Angeles County; California,3333,-118.37060433184375,34.055784077822935
237796,0,037,S,06037276605,1400000US06037276605,+33.9564713,-118.4348338,G5020,2766.05,Census Tract 2766.05,06,276605,Census Tract 2766.05; Los Angeles County; California,2461,-118.43483389281182,33.95647128461073
478080,0,037,S,06037276607,1400000US06037276607,+33.9567510,-118.4214686,G5020,2766.07,Census Tract 2766.07,06,276607,Census Tract 2766.07; Los Angeles County; California,2879,-118.42146854612314,33.95675102255949
